plan_id,user_id,username_snapshot,primary_goal_snapshot,secondary_goal_snapshot,training_level_snapshot,plan_name,plan_type,plan_start_date,plan_end_date,duration_weeks,days_per_week,split_type,session_duration_target_min,progression_strategy,weekly_set_target,session_volume_target,deload_strategy,plan_status,generation_source,generator_version,plan_version,exercise_item_count,rationale,safety_notes,created_at,updated_at
PLAN000514,U000014,tuan014,Muscular Endurance,Rehabilitation and Joint Health,Advanced,8-Week Muscular Endurance - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,90,Linear Progression,20,6.67,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,10,"Alternative sequencing for U000014, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000515,U000015,alex015,Fat Loss,General Fitness,Intermediate,8-Week Fat Loss - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,50,Double Progression,34,5.67,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,18,"Alternative sequencing for U000015, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000516,U000016,khoa016,Muscle Gain,Strength,Beginner,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,90,Linear Progression,30,6,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,10,"Alternative sequencing for U000016, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000517,U000017,long017,Strength,Athletic Performance,Beginner,8-Week Strength - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Auto,70,Double Progression,36,9,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,16,"Alternative sequencing for U000017, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000518,U000018,vy018,General Fitness,Mobility and Flexibility,Advanced,8-Week General Fitness - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,75,RPE-Based,28,14,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,14,"Alternative sequencing for U000018, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000519,U000019,phuc019,Muscle Gain,Mobility and Flexibility,Beginner,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Auto,30,Double Progression,72,12,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,24,"Alternative sequencing for U000019, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000520,U000020,khoa020,Fat Loss,Muscular Endurance,Beginner,8-Week Fat Loss - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,70,Auto,40,8,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,20,"Alternative sequencing for U000020, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000521,U000021,tram021,Athletic Performance,Mobility and Flexibility,Advanced,8-Week Athletic Performance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,90,Linear Progression,25,5,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,10,"Alternative sequencing for U000021, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000522,U000022,trang022,Muscle Gain,Athletic Performance,Advanced,8-Week Muscle Gain - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,45,Double Progression,72,12,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,24,"Alternative sequencing for U000022, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000523,U000023,kai023,Athletic Performance,General Fitness,Beginner,8-Week Athletic Performance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,50,Double Progression,45,15,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,18,"Alternative sequencing for U000023, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000524,U000024,mai024,Muscular Endurance,Fat Loss,Intermediate,8-Week Muscular Endurance - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,60,RPE-Based,36,9,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,18,"Alternative sequencing for U000024, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000525,U000025,khoa025,Strength,Athletic Performance,Advanced,8-Week Strength - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,75,Double Progression,34,17,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,14,"Alternative sequencing for U000025, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000526,U000026,phuc026,General Fitness,Fat Loss,Advanced,8-Week General Fitness - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,50,Double Progression,24,4.8,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000026, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000527,U000027,mai027,Muscle Gain,Rehabilitation and Joint Health,Intermediate,8-Week Muscle Gain - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,40,Double Progression,27,6.75,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,9,"Alternative sequencing for U000027, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000528,U000028,alex028,Mobility and Flexibility,Rehabilitation and Joint Health,Beginner,8-Week Mobility and Flexibility - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Auto,60,Linear Progression,48,12,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,24,"Alternative sequencing for U000028, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000529,U000029,trang029,Mobility and Flexibility,Strength,Intermediate,8-Week Mobility and Flexibility - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,30,Double Progression,24,6,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000029, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000530,U000030,ngoc030,Muscle Gain,General Fitness,Beginner,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Auto,90,Auto,40,20,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,16,"Alternative sequencing for U000030, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000531,U000031,quang031,General Fitness,Rehabilitation and Joint Health,Intermediate,8-Week General Fitness - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,45,Linear Progression,22,7.33,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,11,"Alternative sequencing for U000031, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000532,U000032,vinh032,Fat Loss,Muscle Gain,Advanced,8-Week Fat Loss - Upper Lower - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,75,RPE-Based,42,14,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,21,"Alternative sequencing for U000032, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000533,U000033,my033,Fat Loss,Muscular Endurance,Intermediate,8-Week Fat Loss - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,75,RPE-Based,6,2,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,3,"Alternative sequencing for U000033, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000534,U000034,river034,Mobility and Flexibility,Rehabilitation and Joint Health,Advanced,8-Week Mobility and Flexibility - Push Pull Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,70,RPE-Based,76,12.67,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,38,"Alternative sequencing for U000034, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000535,U000035,thao035,Muscle Gain,Muscular Endurance,Intermediate,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,45,RPE-Based,12,6,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,4,"Alternative sequencing for U000035, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000536,U000036,duc036,Strength,Muscle Gain,Beginner,8-Week Strength - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,90,Auto,58,14.5,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,28,"Alternative sequencing for U000036, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000537,U000037,mai037,Muscle Gain,Mobility and Flexibility,Intermediate,8-Week Muscle Gain - Full Body - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Full Body,60,Double Progression,42,21,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,14,"Alternative sequencing for U000037, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000538,U000038,minh038,Strength,Rehabilitation and Joint Health,Advanced,8-Week Strength - Body Part Split - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Double Progression,59,9.83,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,23,"Alternative sequencing for U000038, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000539,U000039,thao039,Mobility and Flexibility,Rehabilitation and Joint Health,Advanced,8-Week Mobility and Flexibility - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,30,Double Progression,32,8,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,16,"Alternative sequencing for U000039, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000540,U000040,vinh040,Rehabilitation and Joint Health,Muscle Gain,Intermediate,8-Week Rehabilitation and Joint Health - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,70,Double Progression,44,11,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,22,"Alternative sequencing for U000040, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000541,U000041,kai041,Muscular Endurance,Fat Loss,Advanced,8-Week Muscular Endurance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Body Part Split,75,Linear Progression,8,4,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,4,"Alternative sequencing for U000041, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000542,U000042,phuc042,General Fitness,Fat Loss,Intermediate,8-Week General Fitness - Upper Lower - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,40,Double Progression,40,10,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,20,"Alternative sequencing for U000042, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000543,U000043,son043,Athletic Performance,Strength,Advanced,8-Week Athletic Performance - Body Part Split - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Body Part Split,50,Double Progression,37,12.33,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,14,"Alternative sequencing for U000043, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000544,U000044,quang044,Muscular Endurance,Fat Loss,Advanced,8-Week Muscular Endurance - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,70,RPE-Based,28,9.33,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,15,"Alternative sequencing for U000044, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000545,U000045,phuong045,Rehabilitation and Joint Health,Mobility and Flexibility,Intermediate,8-Week Rehabilitation and Joint Health - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,30,Double Progression,16,8,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,8,"Alternative sequencing for U000045, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000546,U000046,son046,Athletic Performance,Strength,Advanced,8-Week Athletic Performance - Push Pull Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,45,Linear Progression,52,13,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,18,"Alternative sequencing for U000046, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000547,U000047,kai047,Muscle Gain,General Fitness,Advanced,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,45,RPE-Based,48,12,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,16,"Alternative sequencing for U000047, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000548,U000048,linh048,General Fitness,Muscle Gain,Beginner,8-Week General Fitness - Upper Lower - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,45,Auto,60,10,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,30,"Alternative sequencing for U000048, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000549,U000049,sam049,General Fitness,Mobility and Flexibility,Advanced,8-Week General Fitness - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,50,Linear Progression,16,3.2,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,8,"Alternative sequencing for U000049, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000550,U000050,phuc050,Muscle Gain,Strength,Advanced,8-Week Muscle Gain - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,75,Linear Progression,42,21,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,14,"Alternative sequencing for U000050, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000551,U000051,user051,Fat Loss,Strength,Intermediate,8-Week Fat Loss - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,45,Auto,22,4.4,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,11,"Alternative sequencing for U000051, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000552,U000052,user052,Fat Loss,Muscle Gain,Advanced,8-Week Fat Loss - Body Part Split - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Auto,34,5.67,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,17,"Alternative sequencing for U000052, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000553,U000053,user053,Muscle Gain,Fat Loss,Intermediate,8-Week Muscle Gain - Chest Back Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,75,Double Progression,75,15,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,25,"Alternative sequencing for U000053, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000554,U000054,user054,Athletic Performance,General Fitness,Advanced,8-Week Athletic Performance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,75,Auto,55,18.33,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,21,"Alternative sequencing for U000054, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000555,U000055,user055,Rehabilitation and Joint Health,Muscle Gain,Intermediate,8-Week Rehabilitation and Joint Health - Push Pull Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,60,Auto,44,11,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,22,"Alternative sequencing for U000055, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000556,U000056,user056,Mobility and Flexibility,Muscular Endurance,Advanced,8-Week Mobility and Flexibility - Full Body - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Full Body,60,RPE-Based,68,13.6,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,35,"Alternative sequencing for U000056, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000557,U000057,user057,Mobility and Flexibility,Rehabilitation and Joint Health,Beginner,8-Week Mobility and Flexibility - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,60,Linear Progression,24,12,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000057, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000558,U000058,user058,Muscle Gain,Muscular Endurance,Advanced,8-Week Muscle Gain - Full Body - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Full Body,75,RPE-Based,93,23.25,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,32,"Alternative sequencing for U000058, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000559,U000059,user059,Mobility and Flexibility,Athletic Performance,Intermediate,8-Week Mobility and Flexibility - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Body Part Split,90,Linear Progression,10,2,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,5,"Alternative sequencing for U000059, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000560,U000060,user060,Athletic Performance,Fat Loss,Advanced,8-Week Athletic Performance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Body Part Split,75,Double Progression,33,11,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000060, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000561,U000061,user061,Strength,Rehabilitation and Joint Health,Intermediate,8-Week Strength - Full Body - Variation 2,Personalized,2026-08-10,2026-10-04,8,6,Full Body,45,Auto,71,11.83,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,36,"Alternative sequencing for U000061, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000562,U000062,user062,Rehabilitation and Joint Health,Fat Loss,Beginner,8-Week Rehabilitation and Joint Health - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Auto,60,Linear Progression,24,8,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000062, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000563,U000063,user063,Athletic Performance,Mobility and Flexibility,Advanced,8-Week Athletic Performance - Full Body - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Full Body,45,Double Progression,60,15,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,24,"Alternative sequencing for U000063, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000564,U000064,user064,Muscle Gain,Mobility and Flexibility,Intermediate,8-Week Muscle Gain - Push Pull Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,60,Double Progression,45,15,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,15,"Alternative sequencing for U000064, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T12:00,2026-08-10T12:00
PLAN000565,U000065,user065,General Fitness,Mobility and Flexibility,Advanced,8-Week General Fitness - Body Part Split - Variation 2,Personalized,2026-08-10,2026-10-04,8,3,Body Part Split,45,Auto,22,7.33,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,11,"Alternative sequencing for U000065, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000566,U000066,user066,Fat Loss,General Fitness,Intermediate,8-Week Fat Loss - Upper Lower - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,75,Linear Progression,56,14,Auto-Regulated,Draft,Hybrid,codex-plan-expansion-v2.0,2.0,28,"Alternative sequencing for U000066, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000567,U000067,user067,Strength,Muscle Gain,Advanced,8-Week Strength - Push Pull Legs - Variation 2,Personalized,2026-08-10,2026-10-04,8,5,Push Pull Legs,60,RPE-Based,55,11,Auto-Regulated,Draft,Coach,codex-plan-expansion-v2.0,2.0,20,"Alternative sequencing for U000067, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000568,U000068,user068,Athletic Performance,General Fitness,Intermediate,8-Week Athletic Performance - Body Part Split - Variation 2,Personalized,2026-08-10,2026-10-04,8,2,Body Part Split,45,Auto,14,7,Auto-Regulated,Draft,User,codex-plan-expansion-v2.0,2.0,6,"Alternative sequencing for U000068, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
PLAN000569,U000069,user069,Athletic Performance,Muscle Gain,Intermediate,8-Week Athletic Performance - Auto - Variation 2,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,75,RPE-Based,24,6,Auto-Regulated,Draft,AI,codex-plan-expansion-v2.0,2.0,12,"Alternative sequencing for U000069, derived from the validated base plan while preserving goal, level, schedule, equipment, safety constraints, and exercise volume.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T12:00,2026-08-10T12:00
